Route,Bus Name,Bus Type,Departing Time,Reaching Time,Duration,Star Rating,Price,Seats Availability
Vijayawada to Hyderabad,APSRTC - 3562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,20:35,06h 35m,2.7,436.0,33.0
Vijayawada to Hyderabad,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00,20:04,06h 04m,4.1,720.0,33.0
Vijayawada to Hyderabad,APSRTC - 3825,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,21:00,06h 30m,2.8,469.0,28.0
Vijayawada to Hyderabad,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,20:30,06h 00m,3.8,720.0,23.0
Vijayawada to Hyderabad,APSRTC - 3549,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,21:00,06h 30m,4.6,436.0,33.0
Vijayawada to Hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:00,20:00,05h 00m,3.8,670.0,29.0
Vijayawada to Hyderabad,APSRTC - 3525,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:00,23:00,08h 00m,3.7,469.0,29.0
Vijayawada to Hyderabad,APSRTC - 35061,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:15,23:15,08h 00m,4.0,480.0,21.0
Vijayawada to Hyderabad,APSRTC - 99611,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:20,19:50,04h 30m,4.0,436.0,28.0
Vijayawada to Hyderabad,APSRTC - 3573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:30,21:25,05h 55m,4.0,720.0,29.0
Vijayawada to Hyderabad,APSRTC - 4052,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,22:00,06h 30m,3.8,436.0,33.0
Vijayawada to Hyderabad,APSRTC - 35271,INDRA(A.C. Seater),16:00,21:50,05h 50m,3.3,567.0,34.0
Vijayawada to Hyderabad,APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:30,22:25,05h 55m,4.4,720.0,41.0
Vijayawada to Hyderabad,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00,22:50,05h 50m,3.4,720.0,40.0
Vijayawada to Hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,23:37,05h 52m,4.3,720.0,43.0
Vijayawada to Hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,00:30,06h 00m,3.8,720.0,47.0
Vijayawada to Hyderabad,APSRTC - 3613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,02:42,07h 42m,3.1,469.0,30.0
Vijayawada to Hyderabad,APSRTC - 23507,INDRA(A.C. Seater),19:00,23:00,04h 00m,2.4,528.0,11.0
Vijayawada to Hyderabad,APSRTC - 9316,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:20,04:10,07h 50m,4.1,469.0,18.0
Vijayawada to Hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,01:05,04h 35m,3.9,670.0,24.0
Vijayawada to Hyderabad,APSRTC - 4046,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,03:40,06h 40m,4.2,480.0,14.0
Vijayawada to Hyderabad,APSRTC - 9651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,04:41,07h 41m,4.8,469.0,17.0
Vijayawada to Hyderabad,APSRTC - 9654,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:40,05:20,07h 40m,2.6,469.0,19.0
Vijayawada to Hyderabad,APSRTC - 40568,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:42,06:00,08h 18m,4.7,469.0,18.0
Vijayawada to Hyderabad,APSRTC - 35179,VENNELA (A.C. SLEEPER),21:45,02:20,04h 35m,4.7,781.0,14.0
Vijayawada to Hyderabad,APSRTC - 3916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,02:50,05h 05m,4.1,469.0,19.0
Vijayawada to Hyderabad,APSRTC - 38201,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:52,04:00,06h 08m,4.0,469.0,13.0
Vijayawada to Hyderabad,APSRTC - 4320,INDRA(A.C. Seater),22:00,04:25,06h 25m,3.0,567.0,29.0
Vijayawada to Hyderabad,APSRTC - 4048,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,04:20,06h 20m,4.5,469.0,12.0
Vijayawada to Hyderabad,APSRTC - 3908,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,04:25,06h 25m,3.8,469.0,23.0
Vijayawada to Hyderabad,APSRTC - 35155,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:00,03:42,05h 42m,4.2,720.0,36.0
Vijayawada to Hyderabad,APSRTC - 4792,INDRA(A.C. Seater),22:05,05:10,07h 05m,3.3,567.0,25.0
Vijayawada to Hyderabad,APSRTC - 3970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:05,05:20,07h 15m,4.0,469.0,5.0
Vijayawada to Hyderabad,APSRTC - 35118,INDRA(A.C. Seater),22:05,04:50,06h 45m,4.0,567.0,24.0
Vijayawada to Hyderabad,APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,04:40,06h 25m,4.1,720.0,23.0
Vijayawada to Hyderabad,APSRTC - 35265,VENNELA (A.C. SLEEPER),22:15,02:50,04h 35m,3.8,781.0,20.0
Vijayawada to Hyderabad,APSRTC - 9934,STAR LINER(NON-AC SLEEPER 2+1),22:15,05:30,07h 15m,3.7,607.0,16.0
Vijayawada to Hyderabad,APSRTC - 3635,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:20,04:55,06h 35m,4.1,469.0,18.0
Vijayawada to Hyderabad,APSRTC - 3943,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,05:25,07h 00m,4.1,469.0,5.0
Vijayawada to Hyderabad,APSRTC - 35063,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,06:10,07h 45m,4.7,469.0,13.0
Vijayawada to Hyderabad,APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),22:30,04:25,05h 55m,4.3,607.0,8.0
Vijayawada to Hyderabad,APSRTC - 3910,INDRA(A.C. Seater),22:30,03:05,04h 35m,3.6,567.0,37.0
Vijayawada to Hyderabad,APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,04:10,05h 40m,4.2,720.0,30.0
Vijayawada to Hyderabad,APSRTC - 95660,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:40,05:15,06h 35m,2.2,446.0,13.0
Vijayawada to Hyderabad,APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),22:45,04:16,05h 31m,4.2,607.0,18.0
Vijayawada to Hyderabad,APSRTC - 3838,VENNELA (A.C. SLEEPER),22:45,04:20,05h 35m,2.9,839.0,20.0
Vijayawada to Hyderabad,APSRTC - 3609,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:46,06:40,07h 54m,4.3,469.0,17.0
Vijayawada to Hyderabad,APSRTC - 95584,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:50,05:45,06h 55m,4.0,488.0,12.0
Vijayawada to Hyderabad,APSRTC - 3961,INDRA(A.C. Seater),22:55,05:25,06h 30m,3.6,567.0,11.0
Vijayawada to Hyderabad,APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),22:55,05:35,06h 40m,4.1,639.0,11.0
Vijayawada to Hyderabad,APSRTC - 3694,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:55,06:15,07h 20m,4.4,469.0,7.0
Vijayawada to Hyderabad,APSRTC - 3968,INDRA(A.C. Seater),22:55,05:05,06h 10m,2.6,567.0,10.0
Vijayawada to Hyderabad,APSRTC - 3888,VENNELA (A.C. SLEEPER),23:00,03:35,04h 35m,4.3,781.0,15.0
Vijayawada to Hyderabad,APSRTC - 3569,INDRA(A.C. Seater),23:00,03:46,04h 46m,4.3,567.0,28.0
Vijayawada to Hyderabad,APSRTC - 3900,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:00,04:20,05h 20m,4.4,469.0,4.0
Vijayawada to Hyderabad,APSRTC - 4893,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:00,05:20,06h 20m,3.5,469.0,11.0
Vijayawada to Hyderabad,APSRTC - 3533,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:00,05:25,06h 25m,3.8,436.0,20.0
Vijayawada to Hyderabad,APSRTC - 4790,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:05,05:20,06h 15m,4.4,720.0,23.0
Vijayawada to Hyderabad,APSRTC - 3278,VENNELA (A.C. SLEEPER),23:05,04:25,05h 20m,3.7,839.0,5.0
Vijayawada to Hyderabad,APSRTC - 4352,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:15,05:30,06h 15m,4.0,469.0,8.0
Vijayawada to Hyderabad,APSRTC - 2785,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:15,05:07,05h 52m,3.7,469.0,6.0
Vijayawada to Hyderabad,APSRTC - 3976,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:15,05:50,06h 35m,2.2,469.0,1.0
Vijayawada to Hyderabad,APSRTC - 95696,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",23:15,05:55,06h 40m,2.2,467.0,23.0
Vijayawada to Hyderabad,APSRTC - 3690,INDRA(A.C. Seater),23:16,06:00,06h 44m,3.4,567.0,14.0
Vijayawada to Hyderabad,APSRTC - 3951,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:25,06:10,06h 45m,4.3,469.0,5.0
Vijayawada to Hyderabad,APSRTC - 3545,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:30,05:35,06h 05m,4.5,720.0,40.0
Vijayawada to Hyderabad,APSRTC - 4354,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,05:44,06h 14m,3.9,469.0,9.0
Vijayawada to Hyderabad,APSRTC - 4995,INDRA(A.C. Seater),23:30,05:40,06h 10m,4.5,567.0,8.0
Vijayawada to Hyderabad,APSRTC - 23702,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,04:30,05h 00m,4.0,436.0,27.0
Vijayawada to Hyderabad,APSRTC - 4178,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:40,05:35,05h 55m,4.6,720.0,37.0
Vijayawada to Hyderabad,APSRTC - 4814,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:40,05:10,05h 30m,4.9,469.0,6.0
Vijayawada to Hyderabad,APSRTC - 4369,INDRA(A.C. Seater),23:45,05:44,05h 59m,3.1,567.0,8.0
Vijayawada to Hyderabad,APSRTC - 3057,VENNELA (A.C. SLEEPER),23:45,04:45,05h 00m,4.2,781.0,21.0
Vijayawada to Hyderabad,APSRTC - 3535,VENNELA (A.C. SLEEPER),23:50,05:25,05h 35m,4.0,839.0,14.0
Vijayawada to Hyderabad,TSRTC - 40162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:20,18:30,06h 10m,2.1,396.0,29.0
Vijayawada to Hyderabad,TSRTC - 1468,RAJDHANI (A.C. Semi Sleeper),12:40,17:10,04h 30m,2.2,480.0,35.0
Vijayawada to Hyderabad,TSRTC - 9945,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,19:10,06h 10m,2.7,396.0,26.0
Vijayawada to Hyderabad,TSRTC - 1547,RAJDHANI (A.C. Semi Sleeper),13:00,19:10,06h 10m,1.7,480.0,24.0
Vijayawada to Hyderabad,TSRTC - 18762,eGARUDA,13:30,19:50,06h 20m,2.8,533.0,31.0
Vijayawada to Hyderabad,TSRTC - 40331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,18:30,04h 50m,3.3,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),14:00,19:40,05h 40m,2.4,480.0,33.0
Vijayawada to Hyderabad,TSRTC - 1432,RAJDHANI (A.C. Semi Sleeper),14:20,19:15,04h 55m,2.1,480.0,31.0
Vijayawada to Hyderabad,TSRTC - 40362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:20,20:30,06h 10m,3.5,396.0,22.0
Vijayawada to Hyderabad,TSRTC - 1402,RAJDHANI (A.C. Semi Sleeper),14:40,19:30,04h 50m,2.1,480.0,37.0
Vijayawada to Hyderabad,TSRTC - 30162,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),15:00,21:00,06h 00m,3.7,533.0,35.0
Vijayawada to Hyderabad,TSRTC - 40110,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:10,21:20,06h 10m,4.1,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1426,Rajdhani (AC Semi Sleeper 2+2),15:20,20:10,04h 50m,1.5,480.0,36.0
Vijayawada to Hyderabad,TSRTC - 40310,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,21:40,06h 10m,4.4,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1102,RAJDHANI (A.C. Semi Sleeper),15:40,21:40,06h 00m,2.8,480.0,35.0
Vijayawada to Hyderabad,TSRTC - 40531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:50,20:50,05h 00m,4.7,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 12962,eGARUDA,16:00,22:10,06h 10m,3.7,533.0,35.0
Vijayawada to Hyderabad,TSRTC - 40762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:10,22:20,06h 10m,3.1,396.0,31.0
Vijayawada to Hyderabad,TSRTC - 40510,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,22:40,06h 10m,2.3,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1344,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),16:40,22:35,05h 55m,3.3,533.0,39.0
Vijayawada to Hyderabad,TSRTC - 40130,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:50,21:40,04h 50m,3.3,396.0,31.0
Vijayawada to Hyderabad,TSRTC - 12162,eGARUDA,17:00,23:10,06h 10m,3.5,533.0,35.0
Vijayawada to Hyderabad,TSRTC - 40731,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:10,21:50,04h 40m,4.2,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 30562,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),17:20,23:00,05h 40m,3.7,533.0,41.0
Vijayawada to Hyderabad,TSRTC - 97666,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,23:40,06h 10m,3.3,440.0,33.0
Vijayawada to Hyderabad,TSRTC - 4080,RAJDHANI (A.C. Semi Sleeper),17:40,23:20,05h 40m,2.3,533.0,37.0
Vijayawada to Hyderabad,TSRTC - 40962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:50,22:40,04h 50m,3.7,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1412,RAJDHANI (A.C. Semi Sleeper),18:00,23:40,05h 40m,3.4,480.0,36.0
Vijayawada to Hyderabad,TSRTC - 7663,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:05,23:35,05h 30m,4.2,396.0,31.0
Vijayawada to Hyderabad,TSRTC - 40931,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:10,23:00,04h 50m,2.3,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 30762,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),18:20,22:50,04h 30m,3.5,533.0,41.0
Vijayawada to Hyderabad,TSRTC - 7772,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,00:45,06h 15m,3.3,352.0,31.0
Vijayawada to Hyderabad,TSRTC - 40910,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,00:35,06h 05m,3.3,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 41162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:50,01:00,06h 10m,4.7,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1592,RAJADHANI AC (CONVERTED METRO LUXURY),19:00,00:35,05h 35m,1.7,480.0,36.0
Vijayawada to Hyderabad,TSRTC - 41131,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:10,00:40,05h 30m,3.6,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 30110,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),19:20,01:00,05h 40m,3.8,533.0,41.0
Vijayawada to Hyderabad,TSRTC - 30962,RAJDHANI (A.C. Semi Sleeper),19:30,02:00,06h 30m,2.5,480.0,37.0
Vijayawada to Hyderabad,TSRTC - 41110,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,01:40,06h 10m,3.5,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1448,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),19:40,01:20,05h 40m,3.7,533.0,40.0
Vijayawada to Hyderabad,TSRTC - 41362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:50,02:00,06h 10m,3.9,396.0,30.0
Vijayawada to Hyderabad,TSRTC - 1637,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),20:00,01:40,05h 40m,3.8,533.0,41.0
Vijayawada to Hyderabad,TSRTC - 41331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:10,00:55,04h 45m,3.7,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 41310,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,02:30,06h 00m,4.1,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1450,RAJADHANI AC (CONVERTED METRO LUXURY),20:40,02:15,05h 35m,2.7,480.0,35.0
Vijayawada to Hyderabad,TSRTC - 7770,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:45,02:15,05h 30m,3.3,352.0,27.0
Vijayawada to Hyderabad,TSRTC - 41562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:50,03:00,06h 10m,3.9,396.0,30.0
Vijayawada to Hyderabad,TSRTC - 13762,eGARUDA,21:00,03:10,06h 10m,4.4,533.0,35.0
Vijayawada to Hyderabad,TSRTC - 41531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:10,01:45,04h 35m,3.5,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 41762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,03:50,06h 20m,3.0,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 1049,RAJDHANI (A.C. Semi Sleeper),21:40,02:00,04h 20m,3.0,480.0,37.0
Vijayawada to Hyderabad,TSRTC - 7742,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,03:45,06h 00m,4.4,396.0,33.0
Vijayawada to Hyderabad,TSRTC - 14562,eGARUDA,22:00,04:10,06h 10m,3.6,533.0,30.0
Vijayawada to Hyderabad,TSRTC - 9883,Lahari Non A/C Sleeper Cum Seater,22:10,04:20,06h 10m,4.1,442.0,34.0
Vijayawada to Hyderabad,TSRTC - 7774,Lahari Non A/C Sleeper Cum Seater,22:10,03:30,05h 20m,4.0,354.0,25.0
Vijayawada to Hyderabad,TSRTC - 1404,RAJDHANI (A.C. Semi Sleeper),22:20,04:00,05h 40m,3.4,480.0,35.0
Vijayawada to Hyderabad,TSRTC - 31162,RAJDHANI (A.C. Semi Sleeper),22:30,05:00,06h 30m,2.9,480.0,34.0
Vijayawada to Hyderabad,TSRTC - 40377,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,03:20,04h 50m,3.8,396.0,32.0
Vijayawada to Hyderabad,TSRTC - 8003,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,05:00,06h 30m,2.4,352.0,23.0
Vijayawada to Hyderabad,TSRTC - 41962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:50,05:00,06h 10m,3.9,396.0,29.0
Vijayawada to Hyderabad,TSRTC - 1824,RAJDHANI (A.C. Semi Sleeper),23:00,03:35,04h 35m,3.5,480.0,37.0
Vijayawada to Hyderabad,TSRTC - 14762,eGARUDA,23:00,05:10,06h 10m,3.5,533.0,31.0
Vijayawada to Hyderabad,TSRTC - 1594,RAJDHANI (A.C. Semi Sleeper),23:10,03:45,04h 35m,3.4,533.0,33.0
Vijayawada to Hyderabad,TSRTC - 9885,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:10,05:20,06h 10m,3.9,396.0,28.0
Vijayawada to Hyderabad,TSRTC - 1616,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:25,04:25,05h 00m,3.9,396.0,27.0
Vijayawada to Hyderabad,TSRTC - 41731,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,04:20,04h 50m,4.0,440.0,33.0
Vijayawada to Hyderabad,TSRTC - 1586,RAJDHANI (A.C. Semi Sleeper),23:40,04:15,04h 35m,3.0,480.0,37.0
Vijayawada to Hyderabad,TSRTC - 7762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,04:50,04h 55m,3.7,396.0,31.0
Vijayawada to Hyderabad,TSRTC - 1470,RAJDHANI (A.C. Semi Sleeper),23:59,05:40,05h 41m,2.8,533.0,37.0
Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,05:45,06h 00m,4.7,487.0,25.0
Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06:15,06h 50m,4.7,500.0,22.0
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,05:20,06h 50m,4.7,480.0,17.0
Vijayawada to Hyderabad,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:10,05:30,07h 20m,3.8,620.0,19.0
Vijayawada to Hyderabad,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05:55,06h 10m,4.7,589.0,10.0
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),17:30,00:05,06h 35m,4.6,450.0,33.0
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),16:20,23:15,06h 55m,4.6,480.0,18.0
Vijayawada to Hyderabad,AdShyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),23:40,06:05,06h 25m,4.4,449.0,41.0
Vijayawada to Hyderabad,Zingbus Plus,A/C Seater / Sleeper (2+1),22:50,05:40,06h 50m,4.6,539.0,27.0
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:25,05:55,06h 30m,4.5,480.0,22.0
Vijayawada to Hyderabad,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:25,05:17,05h 52m,4.7,849.0,15.0
Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,06:10,06h 20m,4.5,525.0,23.0
Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:00,05:45,06h 45m,4.5,447.0,22.0
Vijayawada to Hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:40,06:30,06h 50m,4.5,865.0,18.0
Vijayawada to Hyderabad,Sri Durga Malleswari Travels,A/C Sleeper (2+1),22:30,05:45,07h 15m,4.5,827.0,8.0
Hyderabad to Vijayawada,APSRTC - 9363,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,20:20,06h 20m,4.0,448.0,32.0
Hyderabad to Vijayawada,APSRTC - 3578,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:15,20:00,05h 45m,3.4,670.0,43.0
Hyderabad to Vijayawada,APSRTC - 24291,INDRA(A.C. Seater),14:25,19:00,04h 35m,3.9,528.0,34.0
Hyderabad to Vijayawada,APSRTC - 3722,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,20:45,06h 15m,3.6,448.0,33.0
Hyderabad to Vijayawada,APSRTC - 3859,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:15,21:25,06h 10m,2.8,670.0,42.0
Hyderabad to Vijayawada,APSRTC - 3546,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:15,22:30,06h 15m,3.7,683.0,36.0
Hyderabad to Vijayawada,APSRTC - 3500,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:20,00:45,08h 25m,4.2,436.0,19.0
Hyderabad to Vijayawada,APSRTC - 3376,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,23:15,06h 30m,3.9,436.0,33.0
Hyderabad to Vijayawada,APSRTC - 2561,INDRA(A.C. Seater),17:15,22:45,05h 30m,3.4,528.0,30.0
Hyderabad to Vijayawada,APSRTC - 3358,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20,01:10,07h 50m,3.9,469.0,29.0
Hyderabad to Vijayawada,APSRTC - 2674,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,01:20,07h 50m,3.3,436.0,33.0
Hyderabad to Vijayawada,APSRTC - 3366,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:55,01:45,07h 50m,2.4,436.0,28.0
Hyderabad to Vijayawada,APSRTC - 21219,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:55,01:00,07h 05m,3.9,469.0,31.0
Hyderabad to Vijayawada,APSRTC - 3360,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),18:25,01:30,07h 05m,2.6,670.0,35.0
Hyderabad to Vijayawada,APSRTC - 2575,NIGHT RIDER (SEATER CUM SLEEPER),18:55,01:15,06h 20m,3.4,595.0,20.0
Hyderabad to Vijayawada,APSRTC - 4916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:25,02:15,06h 50m,4.2,436.0,15.0
Hyderabad to Vijayawada,APSRTC - 2563,INDRA(A.C. Seater),19:30,01:25,05h 55m,3.3,528.0,25.0
Hyderabad to Vijayawada,APSRTC - 2680,VENNELA (A.C. SLEEPER),19:45,02:00,06h 15m,3.8,781.0,3.0
Hyderabad to Vijayawada,APSRTC - 2798,INDRA(A.C. Seater),19:55,02:30,06h 35m,3.4,528.0,25.0
Hyderabad to Vijayawada,APSRTC - 2688,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,02:45,06h 45m,4.2,436.0,28.0
Hyderabad to Vijayawada,APSRTC - 3622,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,03:35,07h 35m,4.1,436.0,34.0
Hyderabad to Vijayawada,APSRTC - 4972,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:10,03:20,07h 10m,3.7,469.0,9.0
Hyderabad to Vijayawada,APSRTC - 2876,STAR LINER(NON-AC SLEEPER 2+1),20:15,03:55,07h 40m,3.9,607.0,18.0
Hyderabad to Vijayawada,APSRTC - 2549,NIGHT RIDER (SEATER CUM SLEEPER),20:15,02:15,06h 00m,3.1,595.0,41.0
